作者steveisaman (who is the man)看板Stock標題[情報] 1031 上市櫃外資投信同買排行時間Tue Oct 31 20:51:46 2023

排行   股票名稱     成交    漲跌   投信買   外資買

1      2890永豐金   17.85   +0.15   1575    1323
2      2885元大金   24.3    +0.2    1313    655
3      2891中信金   24.35   0       1302    639
4      3105穩懋     145     +5      1128    9556
5      2356英業達   40.2    -1.7    1087    138
6      8086宏捷科   112.5   +10     1020    2637
7      1402遠東新   29.5    +0.2     916    990
8      2455全新     147     +3.5     790    268
9      2886兆豐金   36.7    +0.15    704    2063
10     8299群聯     465.5   +7.5     615    168
11     2881富邦金   60.1    +0.3     615    1250
12     5876上海商銀 42.9    +0.2     605    77
13     8046南電     236     +4       603    353
14     1303南亞     61.9    +0.6     541    727
15     2027大成鋼   37.05   -0.05    470    286

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

→ a2080259    : 轉移到金融了 10/31 21:18

→ simo520     : 998299 10/31 22:22
