作者steveisaman (who is the man)看板Stock標題[情報] 0221 上市櫃外資投信同買排行時間Tue Feb 21 20:50:15 2023

排行   股票名稱    成交    漲跌     投信買   外資買

1      3481群創    14.8    0        13189    33585
2      1519華城    64.5    +5.8      3045    4991
3      5347世界    95      +1.5      1996    1461
4      8069元太    210     +6.5      1400    2360
5      6235華孚    51      +1.7      1125    602
6      2409友達    18.6    -0.25     1022    1700
7      2049上銀    247.5   +11.5      855    1084
8      2472立隆電  65.8    +2         710    252
9      2903遠百    22.05   +0.2       532    564
10     2382廣達    79.9    +0.3       517    619
11     8436大江    229     +4.5       413    257
12     2324仁寶    23.65   +0.05      402    733
13     2379瑞昱    370.5   +2.5       379    1168
14     2308台達電  297.5   +2.5       349    230
15     8016矽創    243     +17        301    1251

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

→ jerrylin    : 螃蟹要跟在滷肉之後回四百嗎 02/21 20:54

推 AuMgCuLiZn  : 螃蟹我覺得有困難 02/21 21:15
