作者steveisaman (who is the man)看板Stock標題[情報] 1114 上市櫃外資投信同買排行時間Tue Nov 14 21:00:24 2023

排行   股票名稱     成交    漲跌   投信買   外資買

1      2891中信金   26.15   +0.55   1917    39361
2      1519華城     258.5   +11     1501    1032
3      6138茂達     178.5   +9.5    1028    971
4      2890永豐金   18.65   +0.15    894    8361
5      2357華碩     396     +36      872    1726
6      2885元大金   25.05   +0.05    798    3080
7      2353宏碁     35.05   +1.25    623    6747
8      1515力山     52.9    +2.5     563    3221
9      1402遠東新   30.5    +0.15    534    3335
10     2886兆豐金   38.55   +0.05    532    191
11     2892第一金   26.95   +0.05    487    1186
12     4904遠傳     79.1    +0.3     475    994
13     2882國泰金   45.45   +0.2     462    429
14     4746台耀     90.8    +7.2     447    2861
15     1722台肥     61.4    +0.5     351    365

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 weiike      : 台耀在玩啥 11/14 21:37

推 bogege      : 我今天賣中信 11/14 21:53

推 CORYCHAN    : 謝謝分享 11/15 12:34
